BMU cell,community type
1,1
2,1
3,1
4,1
5,1
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,2
17,2
18,2
19,2
20,2
21,1
22,1
23,1
24,1
25,1
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,2
37,2
38,2
39,2
40,2
41,1
42,1
43,1
44,6
45,6
46,3
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,4
55,4
56,4
57,2
58,5
59,5
60,5
61,7
62,7
63,1
64,3
65,3
66,3
67,3
68,3
69,6
70,6
71,6
72,4
73,4
74,4
75,4
76,4
77,5
78,5
79,5
80,5
81,7
82,7
83,7
84,3
85,3
86,3
87,3
88,3
89,6
90,8
91,4
92,4
93,4
94,4
95,4
96,5
97,5
98,5
99,5
100,5
101,7
102,9
103,7
104,8
105,3
106,3
107,3
108,8
109,8
110,8
111,8
112,5
113,4
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,9
122,9
123,9
124,9
125,8
126,8
127,8
128,8
129,8
130,8
131,8
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,9
142,10
143,9
144,9
145,9
146,9
147,8
148,11
149,11
150,11
151,11
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,10
162,10
163,10
164,9
165,9
166,9
167,9
168,11
169,11
170,11
171,11
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,10
182,10
183,10
184,10
185,9
186,9
187,9
188,11
189,11
190,11
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,10
202,10
203,10
204,10
205,10
206,9
207,9
208,9
209,11
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,10
222,10
223,10
224,10
225,10
226,9
227,9
228,9
229,9
230,9
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,10
242,10
243,10
244,10
245,10
246,9
247,9
248,9
249,9
250,9
251,9
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
