site,year,salinity,depth (ft)
2,2010,4.37,-0.12128
3,2010,8.63,-0.58933
6,2010,3.43,0.034794
30,2010,0.8,-0.30301
33,2010,0.8,-0.033124
34,2010,0.68,-0.097843
38,2010,0.1,0.22558
39,2010,0.13,1.0062
46,2010,0.02,-0.3177
47,2010,0.3,-0.42413
56,2010,0.4,0.2214
86,2010,0.02,-0.12365
97,2010,0.15,-0.046536
103,2010,0.05,-0.12439
108,2010,6.05,-0.49928
121,2010,0.6,-0.0082488
125,2010,1.28,-0.058
131,2010,0.96,-0.66135
132,2010,1.32,-0.38022
135,2010,1,-0.52978
136,2010,1.65,-0.78551
139,2010,NaN,-0.11547
148,2010,2.68,-0.9998
154,2010,NaN,-0.38077
156,2010,0.18,-0.5683
159,2010,0.17,-0.15832
163,2010,NaN,-0.26733
164,2010,12.37,-0.090208
171,2010,19.08,-0.23927
172,2010,16.49,0.067198
173,2010,14.59,-0.1578
174,2010,20.88,-0.12662
175,2010,4.86,0.025432
178,2010,9.56,-0.44318
179,2010,14.08,-0.34076
181,2010,19.07,-0.37989
209,2010,9.18,-0.86693
217,2010,0.03,0.54699
220,2010,0.4,-0.17478
225,2010,0.47,-0.26204
226,2010,3.15,-0.54677
232,2010,1.02,-0.34882
248,2010,0.27,-0.40697
251,2010,0.67,0.06412
253,2010,0.39,-0.36927
258,2010,2.5,-0.19824
260,2010,2.94,-0.25232
261,2010,0.2,-0.20529
263,2010,1.9,-0.20436
272,2010,14.14,-0.048159
292,2010,21.29,-0.25148
293,2010,3.54,-0.36076
302,2010,18.55,-0.34194
303,2010,9.52,-0.54453
305,2010,NaN,-0.66353
307,2010,4.77,-0.14709
309,2010,3.21,-0.47285
310,2010,11.34,0.053722
311,2010,11.2,-0.22824
315,2010,4.62,-0.025294
319,2010,10.07,-0.039225
322,2010,9.4,-0.30566
324,2010,0.08,0.048619
326,2010,2.8,-0.61059
332,2010,4.37,-0.61642
335,2010,NaN,-0.028765
336,2010,14.34,-0.14023
337,2010,5.12,-0.11844
338,2010,13.09,0.11244
341,2010,13.19,0.05677
345,2010,15.86,0.14747
347,2010,6.03,-0.14298
354,2010,0.6,-0.34694
355,2010,NaN,-0.8581
369,2010,2.19,-0.41022
374,2010,22.47,-0.13723
376,2010,19.25,0.16336
377,2010,14.28,-0.35341
383,2010,14.31,-0.065265
386,2010,5.08,-0.15463
387,2010,6.28,-0.29226
390,2010,3.31,-0.15463
392,2010,3.96,0.034903
397,2010,8.11,-0.094296
398,2010,NaN,-0.77507
399,2010,1.29,-0.42757
400,2010,0.71,-0.11602
416,2010,3.81,-0.18858
421,2010,14.55,0.027455
434,2010,0.81,-0.31842
461,2010,0.11,0.091556
479,2010,0.1,0.22059
482,2010,NaN,0.19415
488,2010,0.44,-0.2329
489,2010,0.18,-0.80387
498,2010,3.96,0.084162
499,2010,6.84,-0.12041
501,2010,1.57,-0.031638
504,2010,1.71,0.037476
507,2010,1.11,0.11672
508,2010,1.07,-0.14836
513,2010,0.84,0.66748
517,2010,0.14,-0.88754
520,2010,NaN,-0.72616
523,2010,0.81,-0.60265
531,2010,0.29,-0.84198
532,2010,0.3,-1.1003
535,2010,1.3,-0.56465
541,2010,3.4,-0.99887
542,2010,NaN,NaN
543,2010,NaN,-0.97218
545,2010,0.14,-0.47182
547,2010,0.09,-0.24066
550,2010,0.11,-0.751
551,2010,0.07,-0.65937
553,2010,1.23,0.10392
554,2010,0.32,0.0066838
556,2010,0.63,0.37724
560,2010,0.59,0.69778
562,2010,0.47,0.14047
565,2010,0.2,0.28622
567,2010,NaN,0.17324
570,2010,0.41,0.97276
571,2010,0.65,0.1342
572,2010,0.39,0.2942
574,2010,0.18,0.19028
576,2010,6.4,0.11023
580,2010,1.5,-0.16564
581,2010,NaN,0.14291
583,2010,1.68,-0.558
587,2010,0.94,-0.092116
590,2010,0.05,0.35592
595,2010,0.45,0.096267
603,2010,0.93,0.10544
604,2010,0.62,0.31411
605,2010,0.77,-0.11579
608,2010,NaN,-0.15302
609,2010,1.1,-0.061061
614,2010,8.9,-0.51723
616,2010,1.09,0.12578
618,2010,1.06,-0.1848
619,2010,NaN,0.37819
623,2010,2.31,-0.062141
624,2010,0.52,-0.23275
626,2010,6.2,-0.31631
633,2010,1.7,-0.11478
638,2010,1.7,-0.053354
641,2010,3.1,-0.20416
645,2010,1.19,-0.079406
651,2010,2.5,-0.10863
655,2010,8.61,-0.26371
658,2010,0.89,-0.031623
660,2010,3.19,-0.41298
661,2010,3.31,0.1591
662,2010,0.74,-0.27674
663,2010,1.19,-0.040007
665,2010,2.45,0.088509
669,2010,3.23,-0.030687
672,2010,NaN,0.078502
677,2010,1.84,0.040738
682,2010,1.15,-0.20958
683,2010,NaN,-0.21735
684,2010,1.46,-0.0051083
685,2010,8.86,-0.24828
687,2010,7.69,-0.16298
697,2010,4.96,-0.20925
978,2010,9.5,0.17659
1024,2010,6.37,-0.47766
1069,2010,6.47,-0.61074
1100,2010,1.02,-0.39093
1130,2010,1.7,-0.03258
1205,2010,3.3,-0.10605
1277,2010,0.2,0.30512
1409,2010,1.24,-0.19595
1446,2010,0.15,-0.022463
1650,2010,0.51,-0.61349
1738,2010,2.2,-0.13576
1743,2010,2.23,-0.35068
1858,2010,1.7,-0.10924
2041,2010,0.43,-0.729
2154,2010,3.41,0.01241
2156,2010,3.85,-0.16912
2219,2010,1.62,-0.44339
2334,2010,2.77,-0.016961
2418,2010,0.8,-0.13414
2493,2010,1.26,-0.3123
2568,2010,NaN,-0.14246
2608,2010,0.17,0.17861
2627,2010,0.16,0.021361
2634,2010,0.33,-0.10885
2825,2010,0.61,-0.31343
2830,2010,0.87,-0.52354
2854,2010,3.54,-0.28879
3054,2010,0.07,-0.21416
3136,2010,0.05,-0.24543
3601,2010,NaN,0.034639
3617,2010,2,-0.11979
3626,2010,4.36,-0.24604
3639,2010,2.52,-0.56866
3641,2010,1.33,-0.36911
3650,2010,4.17,-0.56805
3664,2010,3.12,-0.20471
3680,2010,4.95,-0.45523
3784,2010,2.83,-0.068179
3800,2010,3.56,-0.038762
3913,2010,0.35,-0.5486
3985,2010,0.7,0.069378
4014,2010,0.12,-0.64644
4016,2010,0.1,-0.30657
4045,2010,NaN,-0.54077
4094,2010,0.65,-0.3923
4103,2010,0.7,-0.32729
4107,2010,3.41,0.31432
4406,2010,1.78,-0.092532
4407,2010,0.14,-0.098379
4448,2010,0.17,0.99284
4455,2010,2.27,-0.2654
4529,2010,8.29,-0.36561
4551,2010,5.14,0.00084439
4557,2010,10.79,-0.17054
4572,2010,4.88,-0.33104
4596,2010,NaN,-0.27336
4626,2010,0.45,-0.35536
4690,2010,0.54,-0.16489
4782,2010,0.11,-0.050675
4808,2010,0.15,0.2847
4900,2010,NaN,0.53377
4938,2010,NaN,1.0796
5035,2010,0.06,0.44333
5167,2010,0.1,0.090042
5255,2010,0.14,-0.057616
5267,2010,0.15,0.018196
5373,2010,0.1,0.42129
5414,2010,0.13,0.094519
5452,2010,0.01,0.028411
5845,2010,0.09,-0.0052477
6038,2010,0.11,-0.48317
6042,2010,NaN,-0.30658
6088,2010,0.02,-0.45936
6090,2010,0.03,-0.31191
6209,2010,0.3,-0.27329
6303,2010,0.34,-0.52366
6304,2010,0.11,-0.68161
2,2011,8.51,-0.10872
3,2011,28.21,-0.66545
6,2011,4.09,-0.045034
30,2011,1.97,-0.35968
33,2011,1.93,-0.062184
